website,name,telnumber,address,logo,email
http://www.verbouwingswerkenlamikris.be,Lami Kris,0475 39 35 80,"Schoolstraat 10, 1980 Zemst",yes,kris.lami@telenet.be
http://www.ackx-bvba.be,Ackx BVBA,014 84 17 19,"Heieinde 25, 2431 Veerle (Laakdal)",yes,roger@ackx-bvba.be
None,Dakwerken Cuyvers,0497 85 49 57,"Sigarenstraat 75, 2940 Stabroek",yes,info@dakwerkencuyvers.be
http://www.bouwondernemingdebalerik.be,Alg Bouwondernem Debal Erik,051 20 83 41,"Verbrandhofstraat 130, 8800 Roeselare",yes,info@debalerik.be
http://www.alustar-dakgoten.be,A.R.S.-Alustar,051 61 11 68,"Nijverheidsstraat 3, 8740 Pittem",yes,info@alustar.be
http://www.boonsg.be,Algemene Schrijnwerken Boons bvba,03 711 11 94,"Duitslandstraat 13, 9140 Temse",yes,boons1@telenet.be
http://www.batisweet.be,Batisweet,02 241 45 01,"Pagodenlaan 32, 1020 Laken (Brussel)",yes,info@batisweet.be
http://bertenbvba-grondwerken.be,Berten,0474 90 96 02,"Elzendamme 3, 8640 Oostvleteren (Vleteren)",yes,berten_bvba@hotmail.com
http://oudesteenroefs.be,Roefs Stanny en Zonen,014 61 37 35,"Gorenstraat 10, 2340 Beerse",yes,sroefs@gmail.com
http://www.desibo.be,Desibo sprl,02 203 41 84,"Berkenlaan 54, 1850 Grimbergen",yes,info@desibo.be
http://dak-gevelrenovatie-gent.be,Dakwerken De Vos,09 355 68 90,"Veldekensstraat 25/B, 9070 Destelbergen",yes,info@dakwerkendevos.be
http://www.alrebo.be,Alrebo bvba,09 220 75 72,"Oude Veldstraat 4, 9041 Oostakker (Gent)",yes,info@alrebo.be
http://www.lavaertgroup.com,Lavaert Group,056 41 52 56,"Aalbeeksesteenweg 25, 8930 Lauwe (Menen)",yes,info@lavaertgroup.com
http://www.cab-construct.be,C.A.B.-Construct,089 62 24 26,"Nijverheidslaan 1500, 3660 Opglabbeek",yes,info@cab-construct.be
http://www.jdr-solutions.be,JDR-Solutions,0468 22 51 39,"Strijmeers 117, 9520 Vlierzele (Sint-Lievens-Houtem)",yes,jdr-solutions@outlook.com
http://www.joviconstruct.be,Jovi-Construct,056 35 68 62,"Mellestraat 16, 8501 Heule (Kortrijk)",yes,joviconstruct@gmail.com
http://www.geertdakwerken-sanitair.be,Jacobs Geert,0475 58 89 87,"Kerkstraat 2/A, 1820 Melsbroek (Steenokkerzeel)",yes,geertjacobs110@gmail.com
http://www.rioleringswerken-bennysmets.be,Rioleringswerken Benny Smets bvba,0473 35 22 82,"Berendonk 10, 2370 Arendonk",yes,benny-smets@skynet.be
http://www.dirk-bradt.be,Bradt Dirk,09 281 11 44,"Nazarethstraat 43 A, 9840 De Pinte",yes,info@dirk-bradt.be
http://www.kevinverlinden.be,Kevin Verlinden Nieuwbouw en Renovatiewerken,0478 62 25 76,"Lierse Steenweg 151, 2288 Bouwel (Grobbendonk)",yes,info@kevinverlinden.be
http://www.lucgeens.be,GEENS Luc,03 455 42 25,"Lerenveld 14, 2547 Lint",yes,info@lucgeens.be
http://www.degro.be,Degro Grondwerken,057 21 77 78,"Rozendaalstraat 111, 8900 Ieper",yes,info@degro.be
http://colmanjurgen.be,Colman Jurgen BVBA,03 779 54 46,"Lijkveldestraat 112, 9170 Sint-Pauwels (Sint-Gillis-Waas)",yes,colmanjurgen@skynet.be
http://www.alldakconstruct.be,All Dakconstruct,03 296 57 22,"Vaartstraat 164, 2960 Brecht",yes,info@alldakconstruct.be
http://www.avygroafbraakenrenovatiegent.be,Avygro,09 356 92 43,"Teirlinckstraat 1, 9900 Eeklo",yes,mcconstruction@live.be
http://www.abeloosdakwerken.be,Abeloos,016 49 04 03,"Houbenstraat 21, 3070 Kortenberg",yes,info@abeloosdakwerken.be
https://www.vdr-construct.be,VDR Construct,0494 69 60 97,"Huivelde 77, 9240 Zele",yes,vdr.renovatie@gmail.com
http://www.dakwerkenspeelman.be,Dakwerken Speelman,03 448 24 70,"Drabstraat, 2640 Mortsel",yes,info@dakwerkenspeelman.be
http://www.vandeveiredakwerken.be,Van De Veire Dirk,0475 84 97 08,"Damstraat 47, 9030 Mariakerke (Gent)",yes,dirk.van.veire1@pandora.be
http://www.daktro.be,Daktro,03 321 92 11,"Adrinkhovenlaan 96, 2150 Borsbeek",yes,office@daktro.be
http://woningbouwetteren.be,BVBA Van Hoecke,09 252 54 56,"Heusdensteenweg 38/A, 9230 Wetteren",yes,peter@vanhoeckebouw.be
http://www.rietendakenvancamp.be,Rietendaken Van Camp,0497 70 16 21,"Akkerstraat 1, 2950 Kapellen",yes,ronny.van.camp@telenet.be
http://www.vantommecontainers.be,CONTAINERVERHUUR Vantomme Containers,0475 51 54 18,"Moorselestraat 139, 8930 Menen",yes,patrick.vantomme@telenet.be
http://www.vdb-rioleringen.be,VDB Put- & Rioleringswerken,0475 61 15 85,"Vaartstraat 88, 2845 Niel",yes,ronny.vandenberge@telenet.be
http://www.dakwerkendebrabandere.be,Debrabandere,056 37 42 39,"Rijmsnoerstraat 4, 8501 Bissegem (Kortrijk)",yes,dakwerken.debrabandere@telenet.be
http://www.dakwerken-dr.be,D & R Dak en Renovatiewerken,0473 71 62 88,"Noordlaan 144, 9230 Wetteren",yes,d-r@telenet.be
http://www.dakwerkenvandingenen.be,Algemene Dakwerken Van Dingenen,0495 88 20 74,"Doornboompad 32, 2270 Herenthout",yes,hans_van_dingenen@hotmail.com
http://demeulemeesterpaul.be,De Meulemeester Paul,09 245 18 64,"Sint-Rochusstraat 21, 9051 Sint-Denijs-Westrem (Gent)",yes,paul.de.meulemeester@skynet.be
http://www.desibo.be,DESIBO,0477 54 92 51,"Berkenlaan 54, 1850 Grimbergen",yes,info@desibo.be
http://www.dakwerkenvandenbliek.be,Van den Bliek & Zn,014 61 32 65,"Hoortverten 28, 2350 Vosselaar",yes,vdbliek@telenet.be
None,VNH Construct,0475 45 38 98,"Reynaertstraat 12 A, 8710 Wielsbeke",yes,info@vnhconstruct.be
http://www.fr-denissen-zn.be,Denissen Fr & Zonen,03 636 48 39,"Smederijstraat 13, 2960 Sint-Job-in-'t-Goor (Brecht)",yes,info@fr-denissen-zn.be
http://www.jgconstruct.be/,JG Construct,0476 30 78 40,"Doolstraat 12, 2275 Gierle (Lille)",yes,info@jgconstruct.be
http://www.depoovergrondwerken.be,Depoover,051 70 58 46,"Vlaestraat 29, 8610 Zarren (Kortemark)",yes,chris.depoover@telenet.be
http://www.tip-tophome.be,Tip-Top Home,016 60 70 27,"Beverdijk 60, 3150 Haacht",yes,tip.top.home@skynet.be
http://www.kurtvanespen.be,Algemene Dak- & Zinkwerken Van Espen Kurt,0475 78 01 89,"Veldonkstraat 275 C, 3128 Baal (Tremelo)",yes,kurtvanespen@skynet.be
http://www.wilboy.be,Wilboy,0468 29 38 28,"Spreeuwenstraat 4, 3560 Lummen",yes,bvba_wilboy@pandora.be
http://www.rbdakwerken.be,R & B Dakwerken,0479 26 38 97,"Hundelgemsesteenweg 1088, 9820 Merelbeke",yes,john.rijckebos@telenet.be
http://grondwerkencontainersdeneire.be,Deneire Marc,051 50 25 79,"Kleine Dries 29 A, 8600 Diksmuide",yes,info@deneire.be
http://www.dakwerkends.be,JC Interiors,0485 74 56 04,"Sint-Bernardse Steenweg 973, 2660 Hoboken (Antwerpen)",yes,info@c-bouw.be
http://www.grondwerken-ceulemans.be,Ceulemans Loonwerken,015 32 02 69,"Wolvenstraat 16, 2861 Onze-Lieve-Vrouw-Waver (Sint-Katelijne-Waver)",yes,info@loonwerken.be
http://dakwerkenhermans.be,Dakwerken Hermans bvba,089 56 47 12,"Drietak 86, 3640 Kessenich (Kinrooi)",yes,jackyhermans@dakwerkenhermans.com
None,Van Nieuwenhuyse Bouw-Vanibo,09 251 23 86,"Eekhoutdriesstraat 7 B, 9041 Oostakker (Gent)",yes,info@vanibo.be
http://www.zoldersedakcentrale.be,Algemene Zolderse Dakcentrale,011 53 63 60,"Heidjesstraat 1 A, 3550 Zolder (Heusden-Zolder)",yes,info@zoldersedakcentrale.be
http://www.algemenedakwerkenvranken.be,Algemene dakwerken Vranken,016 43 49 48,"Aarschotsesteenweg 170 A, 2230 Herselt",yes,eric.vranken1@telenet.be
http://www.dehenau-constructions.be,De Henau Constructions bvba,0485 20 73 66,"Lindestraat 3, 9550 Herzele",yes,filipdehenau@telenet.be
http://www.b-bindustriebouw.be,B&B Industriebouw,011 80 33 36,"Haltstraat 84, 3900 Overpelt",yes,info@b-bindustriebouw.be
http://www.mkgro.be,MKgro,0477 92 03 00,"Oostkerkestraat 36, 8300 Westkapelle (Knokke-Heist)",yes,info@martenskoen.be
http://www.volume-plus.be,Volume +,0475 68 69 77,"Vereeckenstraat 38, 1820 Melsbroek (Steenokkerzeel)",yes,info@volume-plus.be
http://dkgwijchmaal.be,DKG,011 63 32 38,"Kerrestraat 14, 3990 Wijchmaal (Peer)",yes,goeleven.kris@skynet.be
http://www.adwvanbos.be,A.D.W.,0473 97 63 00,"Grote Nieuwedijkstraat 322, 2800 Mechelen",yes,vanbosdakwerken@hotmail.com
https://www.dakwerkenrenders.be,Dakwerken Renders,0491 17 22 21,"Tiensesteenweg 176, 3360 Korbeek-Lo (Bierbeek)",yes,info@dakwerkenrenders.be
http://www.kvo-grondwerken.be,Grondwerken K.V.O.,03 457 59 20,"Klokkestraat 49, 2550 Kontich",yes,info@kvo-grondwerken.be
http://www.afbraakwerkengenk.be,Claes W. CONSTRUCTION,0474 57 34 39,"Winterbeeklaan 35, 3600 Genk",yes,info@claesw.com
None,VDV Bouwwerken,0475 46 58 12,"Hospitaalstraat 63, 9940 Ertvelde (Evergem)",yes,vdvbouwwerken@hotmail.com
http://www.allconcept.be,Allconcept,056 25 37 86,"Begijnestraat 2, 8880 Ledegem",yes,info@allconcept.be
http://www.anneessenssprl.be,Anneessens,010 22 93 14,"Venelle du Sart 6, 1300 Wavre (Waver)",yes,entreprise.anneessens@hotmail.com
http://www.neveplastics.be,Neve Plastics NV,03 454 00 41,"Heirbaan 64, 2640 Mortsel",yes,info@neveplastics.be
http://buntinxlimburg.be,Buntinx E,011 81 52 58,"Vennenstraat 48, 3520 Zonhoven",yes,eddybuntinx@hotmail.com
http://www.topnoord.be,Top Noord,03 411 11 60,"Nijverheidsweg 9, 2310 Rijkevorsel",yes,info@topnoord.be
http://www.vanhaste-dakwerken.be,Vanhaste,057 33 45 62,"Loviestraat 65, 8970 Poperinge",yes,geertvanhaste@hotmail.com
http://manfrabvba.be,Manfra Bvba,0491 36 00 93,"Koetsstraat 16/1, 3530 Houthalen (Houthalen-Helchteren)",yes,manfrabvba@gmail.com
http://www.roodeco.be,Roodeco,0476 92 11 25,"Koolkappersstraat 43, 8500 Kortrijk",yes,info@roodeco.be
http://www.epconstruct-industriebouw.be,E & P Construct,011 61 00 51,"Broederspad 1, 3550 Zolder (Heusden-Zolder)",yes,frank.ennekens@epconstruct.be
http://www.haepers.be,Dakwerken Haepers,015 24 10 80,"Hooiweg 18, 2222 Itegem (Heist-op-den-Berg)",yes,info@haepers.be
http://www.dakwerken-westkust.be,dakwerken westkust,0475 46 62 02,"Timmermanstraat 55, 8400 Oostende",yes,west-kust@hotmail.com
http://www.adwschrijnwerk.be,De Witte A en Zoon,09 348 34 79,"Beukendreef 18, 9160 Lokeren",yes,info@adwschrijnwerk.be
http://www.adget.be,ADGET Dirk Leflot,0496 52 72 56,"Hemelshoek 271, 2590 Berlaar",yes,info@adget.be
http://www.vermaco.be,Vermaco,09 386 80 43,"Schipdonkstraat 14, 9800 Bachte-Maria-Leerne (Deinze)",yes,yves.martens@proximedia.be
http://www.jrsbouwservicebvba.be,J.R.S. Bouwservice,0496 47 51 88,"Hoge Bokstraat 207, 9111 Belsele (Sint-Niklaas)",yes,jurgen@jrs-rombaut.be
http://www.dakwerken-nicasi.be,Dakwerken Nicasi,03 481 97 36,"Goorstraat 8, 2560 Nijlen",yes,dakwerken.nicasi@skynet.be
http://www.marinomoenens.be,Moenens Marino,0476 34 81 45,"Lentedreef 10, 8520 Kuurne",yes,moenens.marino@telenet.be
http://www.jimmyvermeulen.be,Jimmy Vermeulen,03 771 24 34,"Veldstraat 363, 9140 Temse",yes,jimmy@jimmyvermeulen.be
http://www.etabo.be,Etabo,03 776 65 95,"Pastoor De Meerleerstraat 24 A, 9100 Sint-Niklaas",yes,info@etabo.be
http://www.dakwerkenwillemsen.be,Willemsen F,03 666 09 91,"Bareelstraat 80, 2920 Kalmthout",yes,frank.willemsen1@telenet.be
http://www.vbg.be,VBG,013 67 93 00,"Dellestraat 25, 3550 Zolder (Heusden-Zolder)",yes,vbg@colas.be
http://www.vdpconstruct.be,Vandeperre Wouter,0485 31 05 47,"Grensstraat 18, 3941 Eksel (Hechtel-Eksel)",yes,info@vdpconstruct.be
http://www.macallaeys.be,MAC Allaeys,03 766 71 50,"Europark Zuid 5, 9100 Sint-Niklaas",yes,griet@macallaeys.be
http://www.homein1.be,Home in 1,0474 74 87 54,"Eikelendreef 1, 3582 Koersel (Beringen)",yes,info@homein1.be
http://www.probuildbouwgroep.be,Probuild Bouwgroep,0494 46 33 78,"Oostkaai 25/2, 2170 Merksem (Antwerpen)",yes,info@probuild.nu
http://www.dbk-construct.be,DBK Construct,0488 41 92 70,"Roskotstraat 66, 9240 Zele",yes,dbk.construct@gmail.com
http://www.brupaint.be,Brupaint,089 86 67 78,"Henry Fordlaan 86/1, 3600 Genk",yes,info@brupaint.be
http://www.therenovator.be,The Renovator,016 29 30 13,"Kapucijnenvoer 90, 3000 Leuven",yes,info@therenovator.be
None,De Smet dakwerken,09 369 01 23,"Dorpstraat 74, 9260 Serskamp (Wichelen)",yes,office@desmet.info
http://www.grondwerkenelautmortier.be,Elaut-Mortier,09 363 08 40,"Heistraat 93, 9860 Oosterzele",yes,info@elautmortier.be
http://www.grondwerkenbuytaert.be,Buytaert,03 253 07 58,"Hogenakkerhoekstraat 3, 9150 Kruibeke",yes,info@buytaertbvba.be
http://www.mentens.be,A.A.S. Mentens Gebr,013 44 43 83,"Hulshoekstraat 61, 3560 Linkhout (Lummen)",yes,herman@mentens.be
http://www.argodecor.be,Argo Decor,0479 77 61 57,"Mergelbeek 35, 9220 Hamme",yes,gino@argodecor.be
http://www.bvbadewitte.be,De Witte bvba,03 457 35 26,"Ooststatiestraat 68, 2550 Kontich",yes,info@bvbadewitte.be
http://www.voegwerkenstorme.be,Voegwerken Storme,051 62 92 19,"Kloosterhof 15, 8770 Ingelmunster",yes,voegwerken.storme@telenet.be
http://www.vanwaes.be,Van Waes & Zn BVBA,09 226 49 74,"Hazenlaan 21, 9032 Wondelgem (Gent)",yes,info@vanwaes.be
http://www.ghemko.be,Ghemko,03 777 75 86,"Zonnestraat 76 B, 9100 Nieuwkerken-Waas (Sint-Niklaas)",yes,romain@ghemko.be
http://www.francobvba.be,Franco & Zoon,050 42 72 00,"Canadezenstraat 101, 8380 Lissewege (Brugge)",yes,info@francobvba.be
None,Pema Dakwerken,052 46 13 42,"Potaardestraat 9, 9250 Waasmunster",yes,pema.dakwerken@telenet.be
http://www.wall-s.be,Wall's,0470 09 86 09,"Heerbaan 214/bus 3, 3582 Koersel (Beringen)",yes,stijn@wall-s.be
http://wvh.be,WVH,0496 50 63 35,"Leuvensesteenweg 99, 1910 Kampenhout",yes,info@w-vh.be
http://www.mts-industriebouw.be,M.T.S. Systems,011 48 03 80,"Lichtenberglaan 2049, 3800 Sint-Truiden",yes,info@mts-systems.be
http://www.atelierdekerf.be,Atelier De Kerf,02 466 34 61,"Jan Dekinderstraat 72, 1731 Zellik (Asse)",yes,rudy.de.kerf@telenet.be
http://www.dakwerken-toidak.be,Toidak,0477 38 70 18,"Albert Bosmansstraat 7, 1501 Buizingen (Halle)",yes,toidak@telenet.be
http://www.schilderwerkentemmerman.be,Jean-Claude Temmerman & Zoon,0495 22 86 60,"Wijngaardweg 37, 9450 Haaltert",yes,schildertemmerman@gmail.com
http://brasschaatsegrondenafbraakwerken.be,Brasschaatse Grond- en Afbraakwerken,03 651 74 55,"Lage Kaart 431, 2930 Brasschaat",yes,harry.stessels@busmail.net
http://www.dedakwerkerleuven.be,De Dakwerker bvba,016 44 59 23,"Aarschotsesteenweg 409, 3012 Wilsele (Leuven)",yes,None
http://www.wattel.be,Wattel Dakwerken,056 31 16 04,"Speiestraat 98A, 8940 Wervik",yes,didier@wattel.be
http://www.bouwbedrijf-bouwadvies.be,Bouw-Advies,013 29 00 97,"Steenweg 13-15, 3540 Berbroek (Herk-de-Stad)",yes,info@bouwbedrijf-bouwadvies.be
http://www.wbconstruct.be,W&B Construct,0479 36 21 74,"Brusselsesteenweg 422 B, 3020 Veltem-Beisem (Herent)",yes,wbconstruct@hotmail.com
http://www.alpha-mat.be,Alpha-Mat,03 844 76 86,"Nijverheidsstraat 16, 2570 Duffel",yes,alpha-mat@skynet.be
http://www.schrijnwerkendewinter.be,De Winter Schrijnwerken,09 386 26 70,"Lotenhullestraat 51, 9800 Vinkt (Deinze)",yes,info@schrijnwerkendewinter.be
http://www.hawalt.be,Bouwwerken Hawalt,016 73 41 74,"Vleminkstraat 32, 3201 Langdorp (Aarschot)",yes,hans.geens@skynet.be
http://www.gevelrenovatievercamer.be,V & R Vercamer bvba,0497 77 13 25,"Neerhofstraat 8, 8560 Wevelgem",yes,vercamerbvba@telenet.be
http://grondwerkenraemdonck.be,Raemdonck,09 345 05 14,"Albert De Smetstraat 29, 9042 Sint-Kruis-Winkel (Gent)",yes,raemdonck@telenet.be
http://www.hanssensherman.be,Hanssens Herman,09 362 20 58,"Turkenhoek 10, 9860 Scheldewindeke (Oosterzele)",yes,info@hanssensherman.be
http://www.grondwerkenvandermeirsch.be,Grondwerken Van Der Meirsch,09 384 71 93,"Steenweg Deinze 175/A, 9810 Nazareth",yes,grondwerken.vdm@hotmail.com
http://grondwerken-denyseric.be,Denys Eric bvba,051 74 47 07,"Lichterveldsestraat 89, 8851 Koolskamp (Ardooie)",yes,denyseric@skynet.be
http://hw-construcs.be,HW-Construcs,016 69 75 45,"Kerselarestraat 19, 2230 Ramsel (Herselt)",yes,werner.hermans1@telenet.be
http://cappellemarin.be,Cappelle Marin,050 84 02 84,"Maalse Steenweg 408/101, 8310 Sint-Kruis (Brugge)",yes,marincappelle@hotmail.com
http://www.vandenbulckgrondwerken.be,Van den Bulck J & H,014 26 18 55,"Plassendonk 11, 2200 Noorderwijk (Herentals)",yes,None
http://www.rds-bvba.be,R.D.S.,016 29 65 81,"Rijweg 91, 3020 Herent",yes,info@rds-bvba.be
http://www.damsbouwwerken.be,Dams,0497 93 38 04,"Borgeleien 24, 2440 Geel",yes,dams.bvba@telenet.be
http://www.totalfix.be,Totalfix,0471 12 30 00,"Kanunnik De Deckerstraat 58, 2800 Mechelen",yes,info@totalfix.be
http://www.dakteam.be,Dakwerken De Clerck,03 253 00 33,"Kamillelaan 8, 2070 Zwijndrecht",yes,info@dakteam.be
http://www.tconstruct.be,T Construct,0497 90 88 05,"Steenweg op Gelrode 105, 3110 Rotselaar",yes,toni@tconstruct.be
None,Nooyens Guy,014 43 01 29,"Gierlebaan 91, 2275 Lille",yes,guy.nooyens@telenet.be
https://www.inforegio.be/schrijnwerkerij-van-criekingen-tielt-winge,Gyprocwerken Van Criekingen,0473 17 25 35,"Stekstraat 20, 3390 Tielt (Tielt-Winge)",yes,tommy.van.criekingen@gmail.com
http://www.dakwerkenbrepoelsrobert.be,Brepoels Robert Dakwerken,089 23 45 24,"Groenstraat 46A, 3730 Hoeselt",yes,dakwerken.brepoels@telenet.be
http://hermanlemmens.be,Lemmens Herman,015 76 16 35,"Mechelbaan 94, 2861 Onze-Lieve-Vrouw-Waver (Sint-Katelijne-Waver)",yes,info@hermanlemmens.be
http://www.lapeirre.be,Lapeirre Woningbouw,051 26 36 80,"Liebeekstraat 23, 8800 Roeselare",yes,info@lapeirre.be
http://www.dakwerkenmaekelberg.com,Maekelberg,051 56 67 48,"Ichtegemstraat 40 A, 8610 Kortemark",yes,bvbamaekelberg@hotmail.com
http://www.dammangrondwerken.be,Damman bvba,051 68 85 40,"Zegerstraat 6, 8700 Tielt",yes,damman@grodaka.be
http://www.vankerrebroeckbvba.be,Van Kerrebroeck,050 60 72 77,"Koolkerkesteenweg 12, 8340 Oostkerke (Damme)",yes,karel.vankerrebroeck@telenet.be
None,Louagie Gerdi,0494 30 86 56,"Mellestraat 163, 8501 Heule (Kortrijk)",yes,dakwerken_louagie@hotmail.com
http://warmtepompen-vankersschaever.be,Vankersschaever Johan,0477 30 28 04,"Eienbroekstraat 22, 8340 Oostkerke (Damme)",yes,info@vankersschaever.be
http://www.dakwerkenmoensfrancis.be,Algemene Dak- en Torenwerken Moens Francis,011 68 72 65,"Wilderenlaan 52-54, 3803 Wilderen (Sint-Truiden)",yes,bvbafrancis.moens@hotmail.com
None,Dakwerken Soetewey J.,0493 73 92 75,"Kesseldallaan 60/101, 3010 Kessel-Lo (Leuven)",yes,alg.aanneming.dsj@live.be
http://www.hsm-creations.be,H.S.M. Creations,0475 47 33 90,"Glashoevelaan 31, 2940 Stabroek",yes,info@hsm-creations.be
http://www.schilderendecoratiewerkenvdp.be,Schilder- & Decoratiewerken VDP,09 245 09 22,"Heerweg-Noord 161, 9052 Zwijnaarde (Gent)",yes,info@patrickvandort.be
None,Profidak,0475 42 40 64,"Belcrownlaan 14-UNIT8, 2100 Deurne (Antwerpen)",yes,info@profidak.com
http://www.nijsschilderwerken.be,Nijs R & Zn,011 27 31 08,"Paardenweideweg 16, 3511 Kuringen (Hasselt)",yes,bvba.nijs.r.zoon@telenet.be
http://www.hadijco-lier.be,Hadijco,03 489 30 87,"Paaiestraat 74, 2500 Lier",yes,info@hadijco-lier.be
None,Reynders grondwerken,012 45 70 24,"Reeckervelt 10, 3770 Riemst",yes,reynders.ond@telenet.be
